A,B,result,RefD
calculus,spectral methods,1,-0.026833295
transliteration,evaluation of dependency parsing,0,-0.011633279
predicate logic,speech synthesis,0,-0.006401622
information retrieval,search engines,1,0.0432557541359854
summarization evaluation,citation networks,0,0.0036305221135645
generative adversarial networks,syntaxnet,0,0.0212695514047419
penn treebank,syntaxnet,1,0.135440117542182
machine learning resources,random walks and harmonic functions,1,-0.290610269
Mixture Models,finite state transducers,0,0
calculus,recursive neural network,1,-0.012480545
summarization evaluation,Lagrange duality,0,0
discourse analysis,evaluation of language modeling,0,-0.01178281
document ranking,beam search,0,0
linguistics basics,course introduction,1,0
neural networks,neural language modeling,1,0.0394021140812562
context free grammars,social network extraction,0,-0.001764863
greedy algorithms,robotics,0,0.0296546356530729
computer vision,nlp and vision,1,-0.010545577
training neural networks,pointer networks,1,-0.295436105
linguistics basics,nlp for the humanities,1,-0.028752806
linear algebra,Variations of GANs,1,-0.009018376
random walks and harmonic functions,weakly-supervised learning,1,-0.016461956
semi-supervised learning,graph convolutional networks,1,0.419930998144304
tools for dl,shift-reduce parsing,0,0
dimensionality reduction,singular value decomposition,1,0.0961280089297035
structured learning,classification,0,0.0322684167919566
probabilities,Dirichlet Processes,1,-0.181212803
word embedding variations,multilingual word embedding,1,0
regularization,structured learning,0,0.162864447751457
penn treebank,first-order logic,1,0.0040796924805072
machine translation,syntax based machine translation,1,0
Kernel Graphical Models,Variable Elimination,0,-0.147309117
graphical models,Markov Random Fields,1,-0.034829867
natural language processing intro,feature selection,1,-0.089352882
speech signal analysis,parsing evaluation,0,-0.008639154
neural networks,neural question answering,1,0.0425857577389952
bayesian network,neural parsing,0,-0.06640223
linguistics basics,relation extraction,1,0
morphology and lexicon,query expansion,1,-0.061927113
vector representations,bio text mining,1,-0.04662091
nlp for the humanities,speech recognition,0,0.454580336036537
natural language processing intro,entailment,1,-0.020845651
social network extraction,citation networks,1,-0.014186875
vector semantics,document representation,1,0.0403484603865505
nlp for the humanities,State Space Models,0,-0.043296027
sentiment analysis,social media analysis,1,-0.064204193
social network extraction,bagging,0,0
evaluation of dependency parsing,machine translation techniques,0,0.458214907407384
word distributions,topic modeling,1,-0.075017897
loss function,Canonical Correlation Analysis,0,0.006462136826608
structured learning,data structures,0,0.0112317694666809
vector representations,lexicography,0,0.00689206934262
multi-agent systems,conditional probability,0,0.0025820384720175
speech processing,speech synthesis,1,0.107310854514176
random walks and harmonic functions,Dirichlet Processes,0,-0.208077861
structured learning,speech recognition,0,0.262368318245012
tokenization,computation theory,0,0
structured learning,word embedding,1,-0.209548948
search,logic and logical agents,1,0
word distributions,vector representations,1,0.215401643424464
neural networks,neural parsing,1,-0.069777911
normalization,monte carlo methods,0,0
expectation maximization algorithm,transition based dependency parsing,0,-0.065864206
optimization,newton method,1,-0.167265019
Mixture Models,Variations of GANs,0,-0.007865984
linguistics basics,discourse analysis,1,0.136493560879929
knowledge representation,graph-based nlp,0,-0.080711512
ResNet,computational phonology,0,0
dimensionality reduction,Principal Component Analysis,1,0.121074189577153
natural language processing intro,edit distance,1,-0.109403716
evaluation of text classification,sentiment analysis,1,0.302820079603744
discourse parsing,vector representations,0,-0.022459941
recurrent neural networks,parsing evaluation,0,-0.009552513
cky parsing,deep Q-network,0,0.101356553363273
natural language processing intro,hidden markov models,0,0.0708076839288433
chinese nlp,course introduction,0,0
python,entropy,0,-0.000627004
search,game playing in ai,1,0
multi-agent systems,greedy algorithms,0,0.015353697195169
chinese nlp,automated essay scoring,1,-0.278462633
nlp for biology,neural turing machine,0,0.075425382331712
natural language processing intro,information extraction,1,-0.205400805
memory networks,k-nn,0,0.212180294234075
long short term memory networks,neural question answering,1,0.0757514157041322
bootstrapping,summarization evaluation,0,-0.008111358
latent variable models,language identification,0,0
learning,stack lstm,0,-0.00108274
statistical part of speech tagging,multi-task learning,0,0.0185675987676523
dimensionality reduction,multilingual word embedding,0,-0.264538144
others,long short term memory networks,0,0
parsing,shallow parsing,1,-0.705019439
dimensionality reduction,tsne,1,0.016833249336989
machine learning resources,logistic regression,1,0.0920185666570559
text similarity,finite state machines,0,0
planning,radial basis function network,0,0
dependency parsing,transition based dependency parsing,1,0
parsing,semi supervised learning,1,-0.050560078
logic and logical agents,agent-based view of ai,1,0
Naive Bayes,word sense disambiguation,0,-0.068491369
planning,lexicography,0,0
machine learning resources,semi-supervised learning,1,-0.719160104
context free grammar,context sensitive grammar,1,-0.03634396
linguistics basics,knowledge representation,1,0
q learning,lexical semantics,0,0.0030549145274361
semi supervised learning,parts of speech,0,0.010757179808633
nlp for the humanities,singular value decomposition,0,0.0169484432274389
multi-agent systems,game playing in ai,1,-0.006896551
latent variable models,convolutional neural networks,0,-0.00902831
structured learning,automated essay scoring,1,-0.015058368
optimization,dual decomposition,1,-0.31244741
convolutional neural network,mathematical models,0,-0.005592527
classic parsing methods,Mixture Models,0,0
tokenization,syntax,0,0
syntax,shift-reduce parsing,1,-0.062253098
probabilities,recursive neural network,1,-0.021590402
kernels,Markov Random Fields,0,0
word distributions,language modeling,1,0.151465134898874
linguistics basics,Sequence to sequence,1,0
recurrent neural networks,lexicalized parsing,0,-0.044895515
machine learning resources,k means,1,-0.205749817
search,uncertainty,1,-0.002354225
preprocessing,predicate logic,0,0.0305035839264179
latent variable models,expectation maximization algorithm,1,0
first order logic,predicate logic,1,0
vector semantics,unlexicalized parsing,0,0.151018936352946
linguistics basics,feature selection,1,0
Message Passing,data structures,0,0.0692232507790524
training neural networks,phonetics,0,-0.009664721
Unsupervised learning,logistic regression,0,0.423724959748071
machine learning resources,autonomous cars,1,0.0530436025521605
parts of speech,penn treebank,1,-0.005958971
semi supervised learning,discourse parsing,0,0.207227772178377
policy gradient methods,planning,0,-0.013600978
linear algebra,dimensionality reduction,1,-0.036151396
Manifold Learning,tools for dl,0,0
Meta-Learning,machine translation,0,0
hidden markov models,course introduction,1,0
optimization,Lagrange duality,1,-0.139651885
deep learning introduction,neural machine translation,1,-0.541792296
planning,game playing in ai,1,-0.001963305
entropy,nlp for the humanities,0,0
backpropagation,information retrieval,0,0.0483842023049908
semi-supervised learning,neural networks,1,0.121497614713928
named entity recognition,expert systems,0,0.0171612443549472
noisy channel model,semi supervised learning,0,-0.006244246
seq2seq,Belief Propagation,0,-0.013207509
structured sparsity,one-shot learning,0,0
natural language processing intro,noisy channel model,1,-0.335589937
chinese nlp,grammar checker,1,-0.320422562
sequence classification and conditional random fields,deep learning tools,0,0.387171493505239
parsing,parsing evaluation,1,-0.401979985
convolutional neural networks,graph convolutional networks,1,-0.1382309
vector representations,word embedding,1,-0.141577279
stack lstm,parsing,0,0.0376604648228151
semi supervised learning,first-order logic,1,0.0106466182545074
random walks and harmonic functions,Unsupervised learning,1,-0.007297804
thesaurus-based similarity,structured learning,0,0
predicate logic,classification,0,-0.027125327
linguistics basics,kernels,1,0
sentence representations,syntaxnet,0,0.0793925314896998
linear algebra,Manifold Learning,1,-0.036468243
linguistics basics,grammar checker,1,-0.02960337
text summarization,training neural networks,0,0.0860484423255271
natural language processing intro,text mining,1,-0.02203838
capsule networks,KKT conditions,0,0
beam search,neural summarization,1,0.0089611298636711
dimensionality reduction,deep learning tools,0,0.002017472348315
mathematical models,morphology and lexicon,0,0.0045498774479937
evaluation of text classification,autonomous cars,0,0.0430579399813564
information retrieval,document ranking,1,-0.304466555
information retrieval,State Space Models,0,-0.029714925
one-shot learning,others,0,0
machine translation,the ibm models,1,-0.0049385
loss function,latent variable models,1,-0.127981735
nlp for databases,logic and logical agents,0,0.0029638507141811
seq2seq,tools for dl,0,-0.0191166
shallow parsing,agent-based view of ai,0,0.0133858735237547
linguistics basics,language identification,1,-0.02872172
monte carlo methods,latent dirichlet allocation,1,0.0054301041919514
linear algebra,semantic similarity,0,-0.003876113
structured learning,text mining,1,0.0263424676274468
clustering,Mixture Models,1,0
kernel function,social media analysis,0,0
natural language processing intro,graph-based nlp,1,-0.409593212
gibbs sampling,natural language processing intro,0,0.0565348229066989
Belief Propagation,statistical parsing,0,-0.025593683
latent variable models,topic modeling,1,-0.004852657
machine translation techniques,first order logic,0,0.0107083836197735
logic and logical agents,expert systems,1,0.006672450080159
latent variable models,word sense disambiguation,0,-0.009148974
machine learning resources,linear regression,1,0.0915713816597777
backpropagation,Autoencoders,1,0.163761056132294
activation functions,ResNet,0,0
natural language processing intro,semantic similarity,1,-0.099116992
generative and discriminative models,multi-modal learning,0,-0.570108223
natural language processing intro,sentence simplification,1,-0.409997596
graphical models,others,0,0
structured sparsity,predicate logic,0,0.0170792426764355
vector semantics,automated essay scoring,1,0.0819097582005781
computation theory,question answering,0,-0.013439846
machine learning resources,spectral clustering,1,-0.18111761
evaluation of question answering,text to speech generation,0,0.353954214292484
wordnet,lexical semantics,1,0.0155508051189538
attention models,evaluation of dependency parsing,0,-0.066980322
planning,neural language modeling,0,0
probabilistic grammars,logic and reasoning,0,0.0068825784984552
variational bayes models,cky parsing,0,-0.006179208
latent semantic indexing,Naive Bayes,0,0.0270449187342963
learning,sequence classification and conditional random fields,0,-0.012628639
sentence representations,log-linear models,0,0.0066013049507092
informed search,neural networks,0,-0.012619537
natural language processing intro,bio text mining,1,-0.02203838
random walks and harmonic functions,scientific article summarization,1,0
Principal Component Analysis,Manifold Learning,1,-0.097176067
structured learning,feature selection,0,-0.175917621
probabilities,Naive Bayes,1,-0.169655082
machine learning resources,Meta-Learning,1,-0.067903365
nn sequence parsing,clustering,0,0
linguistics basics,sentence boundary recognition,1,-0.00717659
generative adversarial networks,Variations of GANs,1,0
neural parsing,automated essay scoring,0,0.019719578259882
calculus,structured sparsity,1,-0.054206956
loss function,social network extraction,0,-0.00323217
linear algebra,State Space Models,1,-0.037134904
n-gram models,word distributions,1,0.20611537830729
linguistics basics,semantic similarity,1,-0.015669499
word distributions,clustering,0,0
genetic algorithms,neural parsing,0,-0.011855598
language modeling,neural language modeling,1,0
text generation,computational phonology,0,0
graph-based nlp,citation networks,1,0
natural language processing intro,context free grammars,1,-0.023789165
one-shot learning,structured sparsity,0,0
finite state transducers,adversarial search,0,0.012857690685623
machine learning resources,word embedding,1,-0.418335495
linguistics basics,sentence simplification,1,-0.028842887
parsing,dependency parsing,1,-0.626929759
random forest,learning,0,0.008350925927217
context free grammars,neural parsing,0,-0.030856177
Unsupervised learning,reinforcement learning,1,0.0776531749122008
maximum likelihood estimation,Autoencoders,1,-0.008080097
convolutional neural networks,variational autoencoders,0,-0.425553222
probabilities,course introduction,1,0
computation theory,particle filter,0,-0.024831847
predicate logic,word segmentation,0,-0.030654289
AlphaGo,text generation,0,-0.026328343
linguistics basics,query expansion,1,-0.053802855
recurrent neural networks,gated recurrent units,1,-0.224722812
Markov chains,probabilistic context free grammars,0,-0.039154505
machine translation,morphology and semantics in machine translation,1,-0.020751759
logic and logical agents,word embedding variations,0,0
thesaurus-based similarity,Autoencoders,0,-0.001827352
Canonical Correlation Analysis,discourse parsing,0,0.0143998992591534
linguistics basics,word segmentation,1,-0.056545637
sentence representations,information extraction,1,0.0763165352770132
semantic similarity,thesaurus-based similarity,1,-0.399714843
summarization evaluation,search engines,0,0.0307128890754157
bidirectional recurrent neural networks,ResNet,0,0
natural language processing intro,parsing,1,0.223870628505679
text similarity,information extraction,1,0.028651033753691
classic parsing methods,shift-reduce parsing,1,-0.129524221
sentence representations,text mining,1,0.078083149054646
data structures,recursive neural network,0,-0.015490324
semi-supervised learning,Gaussian graphical models,0,0
discourse model,dependency syntax,0,-0.254806659
context free grammar,cky parsing,1,-0.030856177
natural language processing intro,text generation,1,-0.191694632
vector semantics,kernels,1,0
structured learning,kernels,1,0
data structures and algorithms,syntax,0,0.0184293679012436
evaluation of text classification,relation extraction,1,-0.091402774
parsing,syntaxnet,1,0
information retrieval,text mining,1,-0.052883365
Lagrange duality,linear programming,0,0.079397176984152
speech synthesis,handwriting recognition,0,-0.048755488
singular value decomposition,monte carlo methods,0,0.0038798310117011
computer vision,information retrieval,0,-0.002693361
vector representations,lexical semantics,0,0.0132434636338927
vector semantics,bio text mining,1,0.190602963804847
tools for dl,multi-agent systems,0,0
Canonical Correlation Analysis,question answering,0,-0.027380792
linguistics basics,bio text mining,1,-0.01368056
first-order logic,discourse model,0,-0.004909987
neural summarization,scientific article summarization,1,0.0080928047441712
speech signal analysis,gated recurrent units,0,-0.068759027
speech signal analysis,constraint satisfaction,0,0.0037676060179892
deep learning tools,handwriting recognition,0,-0.252590669
knowledge graph,recurrent neural networks,0,0.0250575445679255
vector semantics,tsne,1,0.0064592961929873
transliteration,recurrent neural networks,0,-0.002923415
sentence representations,text summarization,1,0.0807385423842235
weakly-supervised learning,machine translation techniques,0,0.126886032804024
planning,logic and logical agents,1,-0.001467808
text to speech generation,seq2seq,0,-0.518436677
probabilities,hidden markov models,1,-0.110396228
discourse parsing,maximum likelihood estimation,0,-0.02311853
k-nn,informed search,0,0.0088119316205166
object detection,neural summarization,0,-0.017436097
character level language models,problem solving and search,0,0.0064809025638982
