A,B,result
Statistics,Compiler,0
Deadlock,Queue (data structure),0
Index (database),Relational database,1
String searching algorithm,Stochastic,0
Central processing unit,Computability,0
Database management system,Arithmetic,1
Routing,Traffic analysis,0
NP (complexity),Algorithm,1
Robotics,Combinatorics,1
Data analysis,Superscalar,0
Bioinformatics,Logic,1
Cluster analysis,Computability,0
Recursion (computer science),hypothesis testing,0
Multi-core processor,Predicate logic,0
Machine translation,Mathematics,1
Modular programming,Computer simulation,0
Least squares,Mutual exclusion,0
Recursion,Computability,1
Public-key cryptography,Web service,0
Recursively enumerable set,Foundations of mathematics,1
Vector processor,Central processing unit,1
Model checking,Iterative method,1
NP (complexity),Mathematics,1
Information security,Document classification,0
C (programming language),Automata theory,1
Superscalar,NP-complete,0
Concurrency control,Asymptotic analysis,1
Natural language processing,Congestion control,0
Calculus,Foundations of mathematics,1
Atomicity (database systems),Mathematical model,0
Personal computer,Suffix tree,0
Scientific visualization,Computer programming,1
Packet switching,Graph (mathematics),1
Syntax,Network security,0
Shared memory,Lexical semantics,0
Design of experiments,Random variable,1
Hidden Markov model,Artificial intelligence,1
Run time (program lifecycle phase),Computer science,1
Partial differential equation,Probability,0
Embedded system,Microprocessor,1
Document classification,Data mining,0
Correlation and dependence,Image processing,0
Speech recognition,Thread (computer science),0
Prediction,Computational chemistry,0
Superscalar,Message Passing Interface,0
Encryption,Traffic analysis,0
Imperative programming,Algebra,0
Propositional calculus,Imperative programming,0
Knowledge representation and reasoning,Analysis of algorithms,1
Semidefinite programming,Lexical analysis,0
Algorithm design,Iterative method,1
Index (database),Cryptography,0
Kernel (computing),Speech recognition,0
Cluster analysis,Cloud computing,0
Cluster analysis,Data analysis,0
Statistics,Quantum mechanics,0
Probability theory,Cloud computing,0
Application programming interface,Machine learning,0
Procedural programming,Regular expression,0
Statistical inference,Probability,1
Polymorphism (computer science),Computer,1
Relational database,Predicate logic,1
Haskell (programming language),Computer,1
Malware,Structured programming,0
Database,Data (computing),1
Computer vision,Turing machine,1
Computer science,Generic programming,0
Cluster analysis,Graph theory,1
Debugging,Linked list,0
Graphical user interface,Logic,1
Formal verification,Mathematics,1
Computer vision,Mathematical induction,1
Uncertainty,Inference,0
Recursion,Control flow,1
Mechanical engineering,Expert system,0
Information theory,Estimation theory,0
Distributed algorithms,Lisp (programming language),0
Wireless sensor network,Malware,0
Monte Carlo method,Support vector machine,0
Software development,Data type,1
Halting problem,Automata theory,1
Variable (computer science),Logic,1
First-order logic,Linear programming,0
Computing,Social network,0
Assembly language,Computational complexity theory,1
Data structure,Sequence alignment,0
Mechanical engineering,Monte Carlo method,0
Fixed point (mathematics),Martingale (probability theory),0
Linked list,Geometric modeling,0
Linear programming,Problem solving,1
Feature extraction,Computability,1
Array data structure,Run time (program lifecycle phase),0
Expert system,Computational science,1
Image,Imperative programming,0
Python (programming language),Digital electronics,1
Computer simulation,User interface design,0
Spanning tree,Mathematical optimization,0
P versus NP problem,Combinatorics,1
Flow network,Routing,0
Genetic algorithm,Computer,1
Web search engine,Mathematics,1
Finite element method,Mathematics,1
Perl,Computer architecture,1
Transaction processing,Computational geometry,0
Markov process,Integral,0
Congestion control,Computer network,1
Semantics of programming languages,Computer,1
Transaction processing,Computer programming,1
Data structure,Computer,1
Inequality (mathematics),Probability,0
Computer graphics,Semidefinite programming,0
Linked list,Computer science,1
Data structure,Partial differential equation,0
Dynamic programming,Unsupervised learning,0
Image processing,Logic,1
Cryptography,Information security,1
Distributed computing,Digital electronics,0
Cryptanalysis,Authentication,1
Shared memory,Lisp (programming language),0
Cloud computing,Partial differential equation,0
Computer security,Computer science,1
Debugging,Data structure,1
Quantum mechanics,Ray tracing (graphics),0
Fourier analysis,Mathematics,1
Big data,Graph theory,1
Recommender system,Probability,1
Performance tuning,Shading,0
Mathematics,Shortest path problem,0
Robot,Programming language,1
Sufficient statistic,HTML,0
Relational algebra,Dynamic programming,0
String searching algorithm,Database management system,0
Statistics,Unsupervised learning,0
Gradient descent,Random variable,1
Compiler,Computer programming,1
Interaction design,Algebra,0
Recursively enumerable set,Discrete mathematics,1
Undecidable problem,Integer,1
Relational model,Functional programming,0
Quantum cryptography,Peer-to-peer,0
Signal processing,hypothesis testing,0
Neural network,Probability theory,1
Computer vision,Probability theory,1
Graph coloring,Computational science,1
Concurrency (computer science),Internet Protocol Suite,0
Lock (computer science),Message passing,0
Atomicity (database systems),Database,1
Web service,Cryptographic hash function,0
Database,Numerical analysis,0
Speech recognition,Image processing,0
Computer graphics,Quantum mechanics,0
Graphical user interface,Pattern matching,0
Scheduling (computing),Data mining,0
Scheduling (computing),Modular arithmetic,0
Parallel computing,Sequence alignment,0
Natural language processing,Probability,1
Concurrency control,Algorithm design,1
Iterative method,Eigenvalues and eigenvectors,1
Parallel algorithm,Combinatorics,1
Bioinformatics,Context-free language,0
Prolog,Autonomous robot,0
Programming paradigm,Data structure,1
String searching algorithm,Mathematical induction,1
Program optimization,Computability,1
Scope (computer science),Data structure,1
Unsupervised learning,Algorithm,1
Quantum computer,Computer,1
Boundary value problem,Polynomial,1
Operating system,Algorithm,1
Internet,Modular programming,0
Assembly language,Modular programming,0
Application programming interface,Hidden line removal,0
Software framework,Information security,0
Recommender system,Statistics,1
Computational learning theory,Prediction,0
Numerical analysis,String (computer science),0
Recurrence relation,Digital electronics,0
Social network,Mathematics,1
Procedural programming,Number theory,1
Virtual reality,Computation,0
Microcode,Digital electronics,1
Symmetric multiprocessing,Concurrency (computer science),1
Martingale (probability theory),Computer software,0
Quantum computer,Algorithm,1
Distributed computing,Discrete mathematics,1
Recursion,Programming paradigm,0
Dynamic programming,Computing,1
Query optimization,Quantum computer,0
Distributed computing,Data (computing),1
Object (computer science),Mathematics,1
Routing,Random walk,0
Processor register,Interface (computing),0
Sufficient statistic,Digital signature,0
Tensor,Foundations of mathematics,1
Turing machine,Sequence alignment,0
Robotics,Mathematical induction,1
Index (database),Computational science,1
Halting problem,Computation,1
Reinforcement learning,Computational science,1
Sequence alignment,Uncertainty,1
Structured programming,Packet switching,0
Pattern matching,Recursion (computer science),1
Amortized analysis,"Best, worst and average case",1
Natural language processing,Programming language,1
Reinforcement learning,Mathematics,1
PageRank,Mathematical optimization,0
Very long instruction word,Question answering,0
Boundary value problem,Numerical analysis,1
Natural language,JavaScript,0
Formal methods,Computer science,1
String (computer science),Computer,1
CPU cache,Poisson distribution,0
Public-key cryptography,Foundations of mathematics,1
Message passing,Graph theory,1
Hidden line removal,Logic,1
Algorithm,Computer programming,1
Compiler,Finite-state machine,1
Web search engine,Computer science,1
Calculus of variations,Bayesian,0
Functional programming,Data structure,1
Recursion (computer science),Monad (functional programming),0
SQL,Computer programming,1
Feature extraction,Combinatorics,1
Nonlinear system,Query optimization,0
Monad (functional programming),Generic programming,1
Very long instruction word,Recursion (computer science),0
Structured programming,Sparse matrix,0
Programming language,Social network,0
Automata theory,Social network,0
NP-complete,Image,0
Polymorphism (computer science),Programming language,1
Public-key cryptography,Computer science,1
Inequality (mathematics),Mathematics,1
Iterative method,File system,0
Scientific visualization,Matrix (mathematics),0
Semantics,Automata theory,0
Web search engine,Abstraction (computer science),1
Artificial intelligence,Mathematics,1
Game theory,Programming style,0
Conditional probability,System programming,0
Hidden Markov model,Mathematical optimization,1
GPU,Graphics,1
Message passing,Foundations of mathematics,1
Floating point,Linear programming,0
Interpolation,Foundations of mathematics,1
Lexical analysis,Finite-state machine,1
Computer network,Computer science,1
Application programming interface,Algorithm,1
Genetic algorithm,Computer science,1
Data (computing),Automatic programming,0
Shared memory,Prediction,0
Ray tracing (graphics),Computer science,1
Markov chain,Expected value,1
Finite element method,Matrix (mathematics),1
Computer network,Lexical semantics,0
Compiler,Programming language,1
Computational problem,Functional programming,0
Neural network,Firewall (computing),0
Theoretical computer science,Number theory,1
Artificial intelligence,Complexity,1
Parallel computing,File system,0
Natural language processing,Computational complexity theory,1
Speech recognition,Logic,1
Image analysis,3D computer graphics,0
Pushdown automata,Modular arithmetic,0
Approximation algorithm,Digital signature,0
Gradient descent,Automated theorem proving,0
Volume rendering,PageRank,0
Modular arithmetic,Discrete mathematics,1
Wireless sensor network,Mathematical induction,0
Cryptographic hash function,Probability theory,1
SQL,Sparse matrix,0
Communications protocol,Mathematics,1
Imperative programming,Digital electronics,1
Estimation theory,Formal verification,0
Web search engine,Performance tuning,0
Hash table,Data,1
Knowledge representation and reasoning,Natural language,0
Model checking,Artificial intelligence,0
Calculus of variations,Mathematics,1
Embedded system,Quantum computer,0
Gradient descent,Computability,1
Model checking,Computability,1
Natural language processing,Artificial intelligence,1
Database management system,Finite-state machine,0
Firewall (computing),Scientific visualization,0
Graph theory,Lexical analysis,0
Computer security,Model checking,0
Boundary value problem,Differential equation,1
String (computer science),Computational complexity theory,1
Programmer,Data structure,1
Motion planning,Mathematics,0
Parametric polymorphism,Data structure,1
String (computer science),Computer programming,1
Recurrence relation,Computability,1
Algorithm design,Number theory,1
Automated planning and scheduling,Artificial intelligence,1
Signal processing,Probability,1
Run time (program lifecycle phase),Interaction design,0
Lexical semantics,Inter-process communication,0
Time complexity,Mathematical induction,1
Computational complexity theory,Analysis of algorithms,1
Random graph,Algorithm,0
Numerical analysis,Data warehouse,0
Approximation algorithm,Logic,1
World Wide Web,SQL,0
Formal language,Linear programming,0
Shared memory,Theory of computation,0
HTML,Network security,0
Linked list,Social network,0
Document classification,Autonomous robot,0
Artificial intelligence,Recursively enumerable set,0
Genetic algorithm,Discrete mathematics,1
Digital signature,Lisp (programming language),0
Number theory,Continuous function,0
Query optimization,Relational algebra,1
Dynamic memory allocation,Bayesian,0
Computer architecture,Discrete mathematics,1
Machine learning,Statistics,1
Scientific modelling,Logic programming,0
Multi-core processor,Central processing unit,1
Instruction set,Digital electronics,1
Symbol table,Number theory,1
Ray tracing (graphics),Algorithm,1
List of undecidable problems,Big data,0
Fast Fourier transform,Higher-order function,0
Computer programming,Interactivity,0
PSPACE,Unix,0
Modular programming,Computer programming,1
Computer security,Security,1
Poisson distribution,Software development,0
Congestion control,Data,1
Cryptanalysis,Mathematical proof,1
Fast Fourier transform,Computing,1
Transaction processing,Mathematics,1
Dynamic memory allocation,Array data structure,1
Context-free language,Software framework,0
Programming language,Combinational logic,0
Compiler,Number theory,1
Multi-core processor,Statistical inference,0
Recurrence relation,Integral,0
Spanning tree,Discrete mathematics,1
Suffix tree,Regular expression,1
Cryptography,Discrete mathematics,1
Mathematical model,Foundations of mathematics,1
Concurrency (computer science),Poisson distribution,0
Sentiment analysis,Mathematical induction,0
Formal grammar,Computer programming,1
Interaction design,Finite element method,0
Shading,Higher-order function,0
Least squares,Database normalization,0
Debugging,Control flow,1
Random graph,B-tree,0
Distributed algorithms,Mathematics,1
Web service,Graph (mathematics),1
Predicate logic,Cryptographic hash function,0
Semantics of programming languages,Interface (computing),0
Graph (mathematics),Vector processor,0
Cryptographic hash function,Number theory,1
Data type,Computability,1
Coding theory,Computer science,1
Computational geometry,Computer graphics,1
Bayesian network,Random variable,1
Machine learning,Graph (mathematics),1
Monad (functional programming),System call,0
Prediction,GPU,0
Application software,Large deviations theory,0
Authentication,Game theory,0
Algorithm,Number theory,1
Vector processor,Support vector machine,0
Computer vision,Big data,0
Linked list,Computer,1
Profiling (computer programming),Vulnerability (computing),0
Divide and conquer algorithm,Computing,1
Foundations of mathematics,Virtual reality,0
Recursion (computer science),Polynomial,1
Pushdown automata,String (computer science),1
Concurrency control,File system,0
Sentiment analysis,Computer,1
System call,Central processing unit,1
Message Passing Interface,Nonlinear system,0
Unix,Scope (computer science),0
Parsing,Foundations of mathematics,1
Semidefinite programming,Logic programming,0
Monad (functional programming),Formal language,0
Semidefinite programming,Integer,0
Software engineering,Machine translation,0
Embedded system,Floating point,0
Formal language,Computer programming,1
Question answering,Computational complexity theory,1
Wireless sensor network,Dynamic programming,0
Probability theory,Parallel computing,0
Interpolation,Floating point,1
Inequality (mathematics),Foundations of mathematics,1
Natural language processing,Mathematical optimization,1
Communications protocol,Parallel computing,0
Computational science,Software testing,0
Sequence alignment,Spanning tree,0
MATLAB,Programming language,1
Concurrency control,Matrix (mathematics),0
Web browser,Database normalization,0
Eigenvalues and eigenvectors,Information assurance,0
Symbol table,Signal processing,0
Malware,Automatic programming,0
Recursively enumerable set,Computer science,1
Graphical user interface,Computer,1
PageRank,Scientific modelling,0
Turing machine,Theory of computation,1
Scripting language,Data structure,1
Semidefinite programming,Interaction design,0
Uncertainty,Recursively enumerable set,0
Relational database,Computational science,1
Data mining,Mathematics,1
Database design,Relational database,1
Mathematical optimization,Linear system,0
Automatic programming,Computer science,1
Quantum cryptography,Probability theory,1
Digital signature,Problem solving,1
Software development,Computer animation,0
Iterative method,B-tree,0
Data (computing),High-level programming language,0
Part-of-speech tagging,Information security,0
Round-off error,Matrix (mathematics),1
3D computer graphics,Algorithm,1
Software design,Cryptography,0
Linked list,Discrete mathematics,1
Data (computing),SQL,0
Algorithm design,Computational complexity theory,1
Index (database),Algorithm,1
Monad (functional programming),Computer programming,1
Propositional calculus,Gradient descent,0
Linear algebra,Rendering (computer graphics),0
Computability,Speech recognition,0
Cloud computing,Regular expression,0
Scripting language,Software development,0
Mathematical optimization,Foundations of mathematics,1
Central processing unit,Digital electronics,1
Algebra,Message passing,0
Gradient descent,Mathematics,1
Wireless sensor network,Communication,1
HTML,Quantum computer,0
Abstraction (computer science),Computational science,1
Communication,Computability,0
Array data structure,Graph (mathematics),0
Recursion,Iterative method,1
Artificial intelligence,Computer science,1
Recursion (computer science),Iterative method,1
Array data structure,User interface,0
Parsing,Combinatorics,1
Polynomial,Stack (data structure),0
Compiler,Natural language,1
Context-free grammar,Computational chemistry,0
Shared memory,Cryptography,0
Image,Lexical analysis,0
Complexity,Theoretical computer science,1
World Wide Web,Arithmetic,1
Graphical user interface,HTML,0
Software engineering,Computational problem,1
Recurrence relation,Polynomial,1
Linked list,Variable (computer science),0
Computer science,Computer,1
Abstract data type,Integral,0
Parametric polymorphism,Automata theory,1
Programming language,Computer,1
CPU cache,Analysis of algorithms,0
Programmer,Computer programming,1
Internet,Communications protocol,1
"Best, worst and average case",Logic,1
Computational learning theory,Sparse matrix,0
Image analysis,Graphical model,0
Knowledge representation and reasoning,Mathematical proof,0
P versus NP problem,Problem solving,1
Discrete mathematics,Mathematical proof,1
Information security,Combinational logic,0
Control flow,Programming language,1
Lazy evaluation,Image processing,0
Computer software,MATLAB,0
Geometry,Modular programming,0
Image,Recursively enumerable set,0
Linear programming,Algorithm,1
Entropy,Mathematics,1
Java (programming language),Computer programming,1
Software development,Game theory,0
Lexical analysis,Computer,1
Conditional probability,Probability theory,0
Concurrency control,Image analysis,0
Parallel algorithm,Shared memory,1
Computer network,Synchronization,1
Approximation algorithm,Mathematical model,1
Database management system,Algorithm design,1
Formal language,Authentication,0
Hidden Markov model,Modular programming,0
Wireless sensor network,Stochastic,0
Regular language,Automata theory,1
Personal computer,Prolog,0
C++,Data type,1
Computing,Lexical semantics,0
Concurrency control,Analysis of algorithms,1
Run time (program lifecycle phase),Spanning tree,0
Question answering,Natural language processing,0
Question answering,Pushdown automata,0
Relational model,Foundations of mathematics,1
Volume rendering,Computer science,1
Formal methods,Computer,1
Software engineering,Structured programming,1
Application programming interface,Automata theory,1
3D computer graphics,Computing,1
Computer graphics,Data structure,1
Recursively enumerable set,Computation,1
Digital signature,Combinatorics,1
Geometric modeling,Computational geometry,1
Scalability,Transaction processing,0
Software design,Software design,0
Computer vision,Algorithm design,1
Complexity,Formal verification,0
Amortized analysis,Parametric polymorphism,0
Hidden line removal,Discrete mathematics,1
Data (computing),Newton's method,0
Python (programming language),Algorithm,1
Ray tracing (graphics),Image,1
Support vector machine,Profiling (computer programming),0
Wireless sensor network,Memory hierarchy,0
Scientific modelling,Computing,0
Assembly language,Number theory,1
Machine learning,Digital electronics,1
Mathematical optimization,Discrete mathematics,1
Knowledge representation and reasoning,Bayesian,0
Central processing unit,Computer animation,0
Dynamic memory allocation,Approximation algorithm,0
Higher-order function,Hash table,0
Mechanical engineering,Graph (mathematics),0
Analysis of algorithms,Integer,1
Structured programming,Automata theory,1
Relational model,Programming language,1
Theoretical computer science,Mathematics,1
Program optimization,Round-off error,0
Formal verification,Cluster analysis,0
Software testing,Computing,1
Number theory,Interpolation,0
Cache coherence,Computer programming,1
Semantics of programming languages,Semidefinite programming,0
Motion capture,Geometry,1
Natural language,Floating point,0
Complexity class,Theory of computation,1
Autonomous robot,Speech recognition,1
Computer simulation,Computer science,1
Knowledge representation and reasoning,Encryption,0
Application software,Design pattern (computer science),0
Theoretical computer science,Graph theory,1
Type system,SQL,0
Round-off error,Scripting language,0
Distributed algorithms,Problem solving,1
Virtual memory,Tensor,0
Distributed computing,Computational problem,1
Coding theory,Tensor,0
Transaction processing,User interface,0
Lazy evaluation,Computer programming,1
Finite set,Analysis of algorithms,0
Procedural programming,Discrete mathematics,1
Firewall (computing),Network security,1
Coding theory,Mathematics,1
Kernel (computing),Microprocessor,0
Virtual reality,Geometric modeling,0
Internet Protocol Suite,Undecidable problem,0
3D modeling,Computation,1
Software testing,Software engineering,1
Programming style,Data (computing),0
Newton's method,Mathematics,1
Hash table,Automatic programming,0
Visualization (computer graphics),Uncertainty,0
Software engineering,Iterative method,1
Discrete mathematics,Statistics,0
Randomized algorithm,Theory of computation,1
Signal processing,Sparse matrix,0
Quantum computer,Computation,1
Processor register,Lazy evaluation,0
Database design,Database system,1
Digital signature,Software development,0
Input/output,Higher-order function,0
Concurrency control,Computer,1
Formal verification,Foundations of mathematics,1
Kalman filter,Computer graphics,0
Query optimization,Data,1
System programming,Computer software,0
Logic programming,Type system,0
Hash table,Data structure,1
Interaction design,User interface,1
Data mining,Programming language,1
Image analysis,Finite element method,0
Expert system,Suffix tree,0
PSPACE,Theoretical computer science,1
Reason,Scheduling (computing),0
Geometry,Matrix (mathematics),1
Message Passing Interface,Operating system,1
Stochastic,Queue (data structure),0
Message Passing Interface,Malware,0
Concurrency (computer science),Parallel algorithm,0
Semidefinite programming,Array data structure,0
Knowledge representation and reasoning,Combinatorics,1
Interpolation,Monad (functional programming),0
Stochastic process,Arithmetic,0
Cloud computing,Formal verification,0
Bayesian network,Information assurance,0
Data analysis,Denotational semantics,0
Wireless sensor network,Multi-core processor,0
Software design,Computer science,1
Structured programming,Graphical user interface,0
Spanning tree,Artificial intelligence,0
Theoretical computer science,Computer architecture,0
Feature extraction,Algorithm,1
P versus NP problem,Graph (mathematics),0
Graph theory,Graph (mathematics),1
Hash table,Data type,1
Data mining,Computer,1
Exponential family,Numerical analysis,0
Higher-order function,Computation,0
Communications protocol,Abstraction (computer science),1
Cryptanalysis,Computation,1
Undecidable problem,Abstraction (computer science),1
Relational database,Computer,1
Routing,Prolog,0
C (programming language),Computability,1
Database design,Data type,1
Recursively enumerable set,Combinatorics,1
Web service,Statistics,0
Sentiment analysis,Markov chain,1
Graphical user interface,Arithmetic,1
Parsing,Cluster analysis,0
Relational database,Algorithm,1
NP (complexity),Logic,1
Database normalization,Data,1
Computational science,Design of experiments,0
Discrete mathematics,Signal processing,0
High-level programming language,Concurrency (computer science),0
Scripting language,Algorithm,1
Finite difference,Mathematics,1
Recommender system,Markov chain,1
Image processing,Arithmetic,1
Distributed algorithms,Computability,1
Queue (data structure),Computation,0
Cryptanalysis,Computer science,1
Neural network,Computation,1
Computation,Parametric polymorphism,0
Mobile device,Theoretical computer science,0
Complexity,Logic,1
Robot,Program optimization,0
Structured programming,Lexical analysis,0
Randomized algorithm,Mathematics,1
User interface design,Software development,0
Model of computation,Discrete mathematics,1
Genetic algorithm,Abstraction (computer science),1
Network security,Computer security,1
Least squares,Numerical analysis,1
Randomness,Security,0
Lexical analysis,Image,0
Mathematical optimization,Computer science,1
Congestion control,Numerical analysis,0
Document classification,Graph theory,1
Computational chemistry,Computational chemistry,0
Problem solving,Input/output,0
Exponential family,Computational learning theory,0
Software development,Computer science,1
Relational database,Concurrent computing,0
Image processing,Computing,1
Data warehouse,Program analysis,0
Computational learning theory,Mathematics,1
Computer security,Logic,1
Sequence alignment,Graphics,0
Software development,Interactivity,0
Very long instruction word,Asymptotic analysis,0
Regular language,Mathematics,0
Neural network,Machine learning,1
Regular language,Scope (computer science),0
Economics,Mathematical model,1
PageRank,Expert system,0
Theory of computation,Mathematics,1
Recursion (computer science),Computer,1
Database design,Algorithm design,1
Document classification,Probability,1
Software development,Foundations of mathematics,1
Parallel algorithm,Continuous function,0
Statistical inference,Vulnerability (computing),0
Formal methods,Computational complexity theory,1
Calculus,Random variable,0
Combinatorics,Foundations of mathematics,1
HTML,Digital electronics,1
Algorithm,Mathematical proof,1
Public-key cryptography,Natural language processing,0
Graph theory,Data type,0
Design of experiments,Syntax,0
Graphical user interface,Theory of computation,0
Profiling (computer programming),Mathematical induction,1
Information assurance,Asymptotic analysis,0
Speech recognition,Symmetric multiprocessing,0
Model checking,Computation,1
Genetic algorithm,Foundations of mathematics,1
Model of computation,Compiler optimization,0
Arithmetic logic unit,Human-computer interaction,0
Undecidable problem,Logic,1
Monte Carlo method,Problem solving,1
Feature extraction,Computation,1
Martingale (probability theory),Markov chain,1
Computer programming,Complexity,1
Computer multitasking,Distributed computing,0
Superscalar,Semantics,0
Computer security,hypothesis testing,0
Ordinary differential equation,Matrix (mathematics),1
Network security,CPU cache,0
3D computer graphics,Mathematical induction,1
Scalability,Programming language,1
Generic programming,Communications protocol,0
Functional programming,Control flow,1
Analysis of algorithms,Computer science,1
Finite element method,Symbol table,0
Concurrency control,Data structure,1
Theoretical computer science,Algebra,1
Queue (data structure),Visualization (computer graphics),0
Speech recognition,Artificial intelligence,1
Hidden line removal,Computer software,0
Symmetric multiprocessing,Computer science,1
NP (complexity),Computer science,1
Regular language,Scientific modelling,0
Robotics,Computation,1
Cryptanalysis,Wavelet,0
Peer-to-peer,Data (computing),1
Embedded system,Central processing unit,1
Quantum cryptography,Deadlock,0
Haskell (programming language),Computational complexity theory,1
Amortized analysis,Graph theory,1
System call,Mathematical model,0
Imperative programming,Computer science,1
Thread (computer science),Network security,0
Hash table,Numerical analysis,0
Compiler,Mathematics,1
Estimation theory,Partial differential equation,0
Computer simulation,Internet,0
Human-computer interaction,Least squares,0
Parallel computing,Computational science,1
hypothesis testing,Data,1
Random graph,Application software,0
Bioinformatics,Computer programming,1
Relational database,Relational model,1
Software engineering,Logic,1
Profiling (computer programming),Problem solving,1
Approximation algorithm,Arithmetic,1
Data type,Graph theory,1
String (computer science),Arithmetic,1
Random walk,Tensor,0
Application software,C++,0
Divide and conquer algorithm,Analysis of algorithms,1
hypothesis testing,Pushdown automata,0
Denotational semantics,Design of experiments,0
GPU,Part-of-speech tagging,0
Part-of-speech tagging,Deadlock,0
Web server,Internet Protocol Suite,0
Calculus,Relational database,0
Compiler optimization,Query optimization,0
Coding theory,Model checking,0
PSPACE,Theory of computation,1
Symmetric multiprocessing,Functional programming,0
OSI model,Differential equation,0
Debugging,Arithmetic,1
Semidefinite programming,Linear programming,1
Unix,Input/output,1
Compiler,Parsing,1
Variable (computer science),Variable (computer science),0
Newton's method,Matrix (mathematics),1
Graph (mathematics),Formal grammar,0
Parsing,Regular expression,1
Distributed computing,Input/output,1
Digital signature,User interface,0
Hidden Markov model,Conditional probability,1
Automata theory,Computational learning theory,0
Cryptographic hash function,Cryptography,1
Scheduling (computing),Vector processor,0
Shared memory,Stochastic,0
NP-complete,Communication,0
Natural language,Digital signature,0
Abstraction (computer science),Computer,1
Expert system,OSI model,0
Finite element method,Stack (data structure),0
Data type,Context-free language,0
Communications protocol,Instruction set,0
Graphical model,Algorithm,1
Operating system,Computer architecture,1
Operating system,MATLAB,0
Support vector machine,Mathematics,1
Round-off error,Numerical analysis,1
C (programming language),CPU cache,0
Automated planning and scheduling,Visualization (computer graphics),0
Undecidable problem,Calculus of variations,0
Cryptography,Computation,1
Relational model,Predicate logic,1
Algebra,Application software,0
Artificial intelligence,Abstract data type,0
Programmer,Control flow,0
Microcode,Assembly language,1
Data structure,Input/output,0
Estimation theory,Abstraction (computer science),0
Computer animation,Computer,1
B-tree,Data (computing),1
Parallel algorithm,Mechanical engineering,0
Deadlock,Decision theory,0
Computer graphics,Abstraction (computer science),1
Graph coloring,Computational problem,0
Shortest path problem,Relational database,0
Lock (computer science),Program optimization,0
Computational chemistry,Computability,1
Calculus,Mathematics,1
NP-complete,Theoretical computer science,1
Pushdown automata,Computer science,1
Communications protocol,Theoretical computer science,1
Fast Fourier transform,Problem solving,1
C++,Structured programming,1
Distributed computing,Computer science,1
Atomicity (database systems),Machine learning,0
Computational problem,Public-key cryptography,0
"Best, worst and average case",Discrete mathematics,1
Monte Carlo method,Polynomial,1
Computer programming,Polynomial,1
Monad (functional programming),Mathematics,0
Poisson distribution,"Best, worst and average case",0
Message Passing Interface,Sufficient statistic,0
Data type,Computer,1
Coding theory,Logic,1
Volume rendering,Graphical user interface,0
Context-free grammar,Number theory,1
Big data,Query language,0
Entropy,Integral,0
Type system,Computer,1
Virtual memory,Central processing unit,1
Interaction design,3D modeling,0
Approximation algorithm,Martingale (probability theory),0
Traffic analysis,Round-off error,0
Thread (computer science),Robotics,0
Deadlock,Virtual memory,0
Least squares,Eigenvalues and eigenvectors,1
Quantum cryptography,Mathematical proof,1
NP-complete,Computer,1
Encryption,Estimation theory,0
Computer graphics,Number theory,1
Encryption,Scalability,0
Neural network,Formal methods,0
NP-complete,Communications protocol,0
Prediction,Peer-to-peer,0
Calculus of variations,Computational chemistry,0
Computational geometry,Foundations of mathematics,1
Graphical model,Computer programming,1
Packet switching,Peer-to-peer,0
Computer programming,Computer,1
Machine learning,Computer programming,1
Pushdown automata,Integer,0
Mutual exclusion,Pattern recognition,0
Firewall (computing),Nonlinear system,0
Microcode,Syntax,1
Computer simulation,Program analysis,0
3D modeling,ML (programming language),0
Inference,Operating system,0
Robot,Algorithm,1
Formal verification,Formal methods,0
Time complexity,Theory of computation,1
Encryption,Recursion (computer science),0
Java (programming language),Parsing,1
Functional programming,Computing,1
Ordinary differential equation,Program analysis,0
Round-off error,Approximation,1
Memory management,Economics,0
Scientific modelling,Document classification,0
Computer animation,Computational geometry,1
Polynomial,Pattern recognition,0
Quantum computer,Computational complexity theory,1
Least squares,Software testing,0
Parametric polymorphism,Programming language,1
Complexity,Problem solving,1
Model of computation,Game theory,0
Information assurance,Prediction,0
Monte Carlo method,Computation,1
Theoretical computer science,Design pattern (computer science),0
Profiling (computer programming),Computational complexity theory,1
Database design,Database,1
Complexity class,Assembly language,0
Recursively enumerable set,Graph theory,0
Distributed computing,Gradient descent,0
System programming,Inference,0
Cryptography,Mathematics,1
Computer security,Number theory,1
Hidden line removal,Expert system,0
Theory of computation,Number theory,1
Internet Protocol Suite,Arithmetic,1
Artificial intelligence,Number theory,1
Recursion (computer science),Data structure,1
First-order logic,Recursion,1
Shading,Monte Carlo method,0
Cryptographic hash function,Programming language,0
Computer science,Computing,0
Polymorphism (computer science),"Best, worst and average case",0
Parsing,Iterative method,1
Structured programming,Programming language,1
Lexical semantics,Type system,0
Computer software,Computing,1
Part-of-speech tagging,Monad (functional programming),0
Distributed algorithms,Polynomial,1
Graphics,Index (database),0
Formal methods,Graph coloring,0
Graphics,Telecommunications network,0
Java (programming language),Computer architecture,1
Telecommunications network,Generic programming,0
Formal verification,Graph theory,1
Computer simulation,Mathematics,1
Operating system,Computer science,1
Scientific modelling,Lexical analysis,0
Geometric modeling,Bayesian network,0
Nonlinear system,Computer science,0
Internet,Ordinary differential equation,0
List of undecidable problems,Computer science,1
Software testing,Computer,1
Internet,Routing,1
Expert system,Image analysis,0
Geometric modeling,Computation,1
Linear algebra,Integer,1
Mathematical model,Parsing,0
Markov chain,Mathematics,1
